id,0 vehicles,1 vehicle,2 vehicles,3+ vehicles
251700,175,239,54,7
251800,762,632,164,66
251900,735,760,306,59
252000,1094,831,312,57
252101,251,306,75,6
252102,834,874,353,71
252201,290,397,156,31
252202,408,545,327,91
260100,341,187,56,5
260200,199,99,27,0
260300,250,186,78,0
260400,234,100,103,21
260500,94,357,86,5
260600,318,272,138,53
260700,235,274,33,31
260800,364,295,86,0
260900,243,149,76,0
261000,197,286,140,96
270500,265,296,77,24
271200,128,98,137,0
271300,163,170,20,8
271400,154,245,81,0
271500,93,187,190,11
271800,96,111,26,0
280100,1042,1840,431,21
280400,154,162,65,0
280800,86,95,21,0
280900,122,195,5,0
281900,1037,1479,96,40
282700,126,495,338,18
282800,118,411,208,24
283100,416,503,199,9
283200,192,321,65,6
283800,515,752,276,40
290900,639,480,148,20
291200,281,307,58,10
291600,125,64,117,4
292200,361,399,139,37
292400,359,319,26,14
292500,446,649,156,60
300500,123,331,222,48
300600,117,336,235,113
300700,350,444,300,83
300800,218,576,210,85
300900,305,535,217,32
301100,125,347,137,69
301200,198,544,292,52
301600,245,582,354,30
301701,191,363,306,100
301702,28,612,151,77
301801,191,489,321,33
301802,115,355,156,66
301803,197,573,385,98
310200,89,336,174,39
310300,104,286,232,77
310400,179,209,100,45
310500,148,201,86,73
310600,774,1034,244,133
310700,261,217,101,0
310800,532,540,330,54
310900,455,843,370,76
320100,2720,2788,631,67
320400,128,163,64,5
320600,941,1243,125,32
330100,2166,5646,1341,27
330200,396,1090,460,9
340300,260,301,93,50
340400,177,302,148,58
340500,378,304,137,13
340600,404,48,0,0
350100,320,1055,98,16
350400,223,70,20,0
351000,439,1296,274,39
351100,308,473,13,6
351400,506,245,27,6
351500,0,65,3,12
360200,314,237,31,0
380100,428,324,141,76
380200,556,280,148,0
380500,40,120,63,0
380700,221,178,92,10
381200,470,489,119,21
381400,199,361,27,64
381500,61,44,0,0
381700,0,0,0,0
381800,288,182,96,4
381900,242,175,103,29
390100,168,216,88,68
390200,213,411,187,71
390300,831,346,42,49
390400,714,625,138,41
390500,164,408,85,80
390600,184,468,160,67
390700,1102,1713,431,46
400300,162,219,145,29
400400,303,265,112,0
400500,351,325,47,17
400800,682,327,49,11
410100,451,484,143,20
410200,293,196,47,25
410500,220,705,191,23
410600,270,570,133,62
410700,471,436,158,10
410800,737,757,163,19
410900,484,857,211,52
411000,654,1070,220,25
411100,286,574,116,17
411200,149,336,213,9
420100,427,216,59,0
420200,295,310,68,8
420300,178,238,110,8
420400,283,281,138,13
420500,545,391,42,16
420600,260,263,46,13
420700,616,512,69,9
420800,348,366,93,15
421200,185,318,91,22
430101,526,788,250,24
430102,944,723,85,74
430200,1214,693,258,73
430300,267,340,115,57
430400,349,457,227,60
430500,1003,590,174,28
430600,237,343,98,65
430700,360,703,78,51
430800,251,349,108,97
430900,280,316,49,58
431200,256,522,280,43
431301,512,659,25,15
431302,554,634,74,24
431400,1167,1914,279,16
440101,816,762,115,16
440102,682,948,90,16
440201,924,1209,248,0
440202,544,701,242,100
440300,357,1130,508,102
440600,173,328,245,52
440700,149,256,148,57
440800,303,361,96,30
440900,183,548,206,28
450300,291,728,363,109
460100,505,477,324,56
460200,225,366,113,47
460301,226,511,193,78
460302,504,470,186,46
460400,297,665,204,113
460500,363,1320,426,165
460600,152,92,120,43
460700,386,334,154,37
461000,472,244,44,53
470100,409,360,199,88
480100,90,443,277,88
480200,132,338,120,0
480300,59,417,104,11
480400,270,1087,841,249
480500,217,442,323,78
490300,236,396,194,69
490400,99,133,180,27
490500,61,432,187,81
490600,66,345,129,29
490700,151,450,285,118
490800,242,759,368,97
490901,383,822,277,75
490902,558,716,473,185
491000,504,477,298,45
491100,136,942,388,94
491200,159,320,270,65
491300,352,253,182,86
491400,366,486,218,27
500100,236,674,436,90
500200,330,259,79,35
500300,152,476,142,75
510100,153,265,394,222
510200,148,656,201,123
510300,421,1039,496,152
520100,145,193,156,53
520200,314,446,212,106
520300,164,658,634,319
520400,125,538,473,96
520500,108,406,679,228
520600,92,252,342,161
530100,194,295,214,111
530200,291,715,252,101
530300,215,637,482,95
530400,118,328,166,70
550100,383,1077,893,288
550200,56,392,497,108
560100,23,105,159,41
560200,150,135,181,131
560300,28,325,366,193
560400,26,159,160,52
560700,164,577,278,167
560800,166,908,792,285
560900,132,598,722,425
561000,288,500,904,264
561100,169,642,855,298
570100,51,140,117,82
570200,102,223,142,92
570300,201,499,665,234
570400,65,147,191,64
570500,14,312,291,108
580100,127,317,260,82
580200,216,331,284,63
580300,65,230,121,146
580400,219,580,357,64
580501,111,707,377,182
580502,142,509,391,249
580600,154,796,393,182
580700,167,802,381,152
580800,61,238,165,30
590500,65,251,293,24
590600,218,489,399,134
590700,159,456,364,39
600400,288,711,378,123
600600,254,403,163,99
600700,196,506,169,85
600900,359,637,373,57
610300,409,669,291,74
610400,149,205,84,43
610800,35,217,218,41
611000,111,107,39,36
611100,182,254,194,67
611200,201,227,150,44
611300,204,400,194,18
611400,155,490,210,114
611500,229,344,262,47
611600,83,185,97,48
611700,140,147,70,26
611800,265,335,55,31
611900,283,184,55,60
612000,209,189,69,11
612100,119,198,81,48
620100,33,374,626,148
620200,124,338,164,85
620300,151,828,619,302
620400,40,514,532,149
630100,118,114,71,55
630200,81,277,116,91
630300,127,296,620,211
630400,151,688,466,336
630500,201,496,522,226
630800,212,539,598,310
630900,262,446,313,180
640100,117,229,70,50
640300,203,957,788,293
640400,63,506,531,156
640500,129,617,446,174
640600,189,886,395,129
640700,32,339,537,123
640800,24,166,185,55
650100,136,416,530,191
650200,179,884,595,352
650301,151,630,588,182
650302,37,326,435,287
650400,128,660,577,298
650500,280,689,364,196
660301,180,205,90,0
660302,287,575,400,121
660400,235,711,424,91
660500,234,559,271,250
660600,724,699,338,88
660700,190,255,84,65
660800,450,723,324,210
660900,338,762,152,92
661000,500,820,488,111
661100,161,673,584,347
670100,157,223,42,20
670200,172,137,52,0
670300,205,136,46,0
670400,153,179,113,29
670500,165,149,47,10
670600,144,251,114,26
670700,115,188,63,10
670800,268,224,32,47
670900,182,168,91,41
671100,164,213,18,0
671200,177,149,48,11
671300,247,204,113,94
671400,102,252,119,29
671500,267,478,146,35
671600,341,368,87,40
671800,119,222,60,13
671900,74,145,56,48
672000,256,514,235,70
680500,169,197,49,15
680600,238,230,17,0
680900,904,452,166,112
681000,494,382,157,15
681100,548,439,174,0
681200,501,314,60,0
681300,438,271,150,9
681400,326,368,178,47
690300,400,331,34,33
690400,541,592,187,54
690500,202,164,8,0
690900,763,960,188,11
691000,346,483,155,80
691100,577,485,121,29
691200,294,462,192,45
691300,179,499,225,98
691400,365,752,197,103
691500,248,356,122,0
700100,87,351,357,143
700200,120,548,769,326
700301,85,663,644,281
700302,84,557,750,296
700401,79,622,768,343
700402,78,341,616,239
700501,198,863,1110,377
700502,102,353,448,182
710100,368,92,44,19
710200,805,862,209,41
710300,261,222,87,6
710400,376,786,575,131
710500,768,561,288,43
710600,339,276,57,0
710700,384,545,169,90
710800,799,603,260,37
710900,228,291,205,51
711000,313,622,220,44
711100,404,459,102,76
711200,373,853,461,152
711300,152,250,136,46
711400,217,320,231,48
711500,142,344,263,67
720100,29,369,638,381
720200,204,636,434,259
720300,25,392,597,213
720400,0,292,429,102
720500,50,243,352,131
720600,32,204,281,91
720700,116,745,400,60
730100,119,415,316,84
730201,608,1137,457,65
730202,141,472,200,138
730300,37,126,164,45
730400,249,580,311,150
730500,303,774,354,129
730600,304,533,306,142
730700,55,411,107,76
740100,130,392,500,151
740200,34,423,1212,381
740300,84,478,857,196
740400,77,678,691,305
750100,238,654,488,104
750200,152,413,452,141
750300,21,332,316,227
750400,74,464,544,100
750500,336,742,649,289
750600,247,521,368,137
760801,247,1324,520,51
760802,70,475,454,50
760803,280,1423,857,259
770602,212,485,591,226
770902,70,698,501,212
810400,62,716,835,433
821402,106,582,497,158
823304,294,900,738,407
831000,136,554,405,54
831100,448,1274,647,200
831200,222,558,474,124
831300,39,173,134,35
831400,349,440,206,61
831500,69,545,354,179
831600,491,838,703,313
831700,55,242,258,173
831800,292,999,605,163
831900,360,614,329,27
832000,210,519,207,23
832100,670,900,219,28
832200,219,855,383,72
832300,57,508,329,37
832400,140,598,404,106
832500,293,564,435,81
832600,291,877,621,95
832900,328,491,244,59
833000,213,941,200,21
833100,343,2392,957,23
833300,244,368,231,21
833900,251,353,131,24
834000,310,707,176,40
834200,460,1134,280,90
834300,447,1140,598,195
834300,447,1140,598,195
834400,584,687,259,30
834500,237,128,103,4
834600,571,291,120,23
834700,292,263,82,18
834800,361,318,41,3
834900,421,350,38,42
835000,530,718,252,105
835100,198,444,501,139
835200,92,253,185,54
835500,434,207,86,31
835600,169,166,27,26
835800,147,290,99,56
835900,541,705,178,47
836000,288,441,256,36
836100,292,237,84,13
836200,12,36,61,0
836300,251,219,90,13
836400,510,739,208,70
836500,349,226,18,41
836600,298,379,252,13
836700,405,338,58,11
836800,462,354,113,28
836900,115,243,113,49
837000,351,332,155,10
837100,356,285,161,23
837300,213,265,72,15
837400,203,274,105,19
837800,292,479,253,10
838000,596,535,149,28
838100,550,384,166,44
838200,72,162,82,75
838300,229,223,30,49
838600,296,120,61,4
838700,733,398,120,45
838800,354,520,108,80
839000,1315,2032,270,29
839100,1162,739,85,18
839200,503,606,183,65
839500,476,213,117,61
839600,389,202,181,55
839700,488,576,465,209
839800,272,515,286,129
839900,249,636,496,181
840000,159,441,362,91
840100,302,427,179,38
840200,176,346,274,42
840300,202,555,286,108
840400,324,476,233,110
840700,360,423,181,49
840800,173,350,204,128
841000,125,164,93,0
841100,1008,1182,298,198
841200,410,765,262,178
841300,472,595,295,56
841400,193,168,65,10
841500,399,242,29,50
841600,45,180,24,0
841700,283,271,32,38
841800,355,392,168,15
841900,109,1059,314,76
842000,133,151,137,37
842100,572,871,473,154
842200,390,686,266,10
842300,285,887,281,115
842400,508,658,240,19
842500,490,293,11,0
842600,238,536,422,149
842800,327,886,482,226
842900,706,409,116,0
843000,547,280,128,4
843100,249,248,60,23
843200,232,315,217,116
843300,152,170,69,0
843400,106,226,132,58
843500,36,143,91,16
843600,536,451,109,47
843700,191,325,376,48
843800,157,301,88,28
843900,678,902,246,64
530501,293,960,332,96
530502,9,328,143,9
530503,208,863,450,227
530600,342,503,268,45
540101,510,420,89,118
540102,537,522,126,0
830500,229,302,312,171
830600,461,1030,408,93
830700,915,571,239,11
830800,442,680,264,25
830900,139,591,409,30
